player_name,hand_id,starting_bankroll,net_earning,player_cards,play_cards_value,community_cards
marki,1002573263,1516,-120,9hKs,9K,Kh6dQcTcQs
marki,1002573342,1376,-70,TcKh,TK,5c9c9s7sJc
marki,1002573480,1301,-70,QsQh,QQ,6d7h2h4cKd
marki,1002573794,1161,-20,6c8c,68,5dJdTsTd7d
marki,1002573860,1141,7,Ah9h,A9,Qc8d3hQs3c
marki,1002573950,1148,-90,JcJh,JJ,Kc4d2c8c5s
marki,1002574014,1058,-20,9dQs,9Q,8s7d5cKc7s
marki,1002574145,1038,105,Qs9c,Q9,4h4d9h2s6s
marki,1002575472,1203,55,8s5d,85,7s6cTc4d8h
marki,1004464882,1273,-60,2dAs,2A,8dAd9h3s7h
marki,1004465007,1183,-10,9hJs,9J,AcAs6h3s5c
marki,1004542699,1178,60,TcKd,TK,QhJs2cJcQd
marki,1004542866,1328,50,JhTh,JT,4s3dKd7hAc
marki,1004542888,1378,-50,JdQc,JQ,7h6c2c9c9h
marki,1004542922,1328,60,3s6h,36,5h6cKdKs4d
marki,1004542948,1388,-90,Ad4d,A4,7d8d2c7c6s
marki,1004543124,1343,100,6cJc,6J,6h7cJsQcTs
marki,1004543194,1433,-90,KcJc,KJ,4c3s9s8d8c
marki,1004543268,1338,-70,5hKd,5K,4cAs3s5d2h
marki,1004553554,1238,90,AdQc,AQ,KdTh4cJh4d
marki,1004553604,1328,-60,6sAc,6A,Jd4s4cAs5c
marki,1004553702,1343,55,9dJs,9J,7d2sJh4d3c
marki,1004555204,1388,-60,AhKc,AK,4s5d6s2s4c
oval,1002963855,1660,-110,9c8c,98,9h5cQc3dKs
oval,1002963963,1550,-60,9sAh,9A,TcAc8h8c2s
oval,1002964028,1490,-120,AsTs,AT,Kc5s4sJc3c
oval,1002964049,1370,60,6cTc,6T,2cKd6d7d4s
oval,1002964071,1430,120,7s3s,73,4hJs9sJh2s
oval,1002964149,1535,-20,9s8d,98,KhAd5h7dTc
oval,1002964173,1515,-60,9sJh,9J,Qs6sTdJdTs
oval,1002964212,1450,-40,5h5s,55,3hQc7s9c8c
oval,1002964230,1410,-70,8d9s,89,3cTdQs4d3h
oval,1002964247,1340,-70,2c6c,26,5d2hJdQh8h
oval,1002964292,1250,200,AcJs,AJ,Qs4d8hQcJd
oval,1002964325,1450,180,7s6c,76,8hThTs6s6h
oval,1002964373,1630,100,7sTs,7T,JsKs4d3h3s
oval,1002964397,1730,30,JhAc,JA,Ts5c8sKd7d
oval,1002964411,1760,-70,8d8c,88,2hAd3s7c6s
oval,1002964450,1675,160,As6d,A6,9c7d8s8d5c
oval,1002964491,1835,40,As7s,A7,9c8s4hAdTh
oval,1002964593,1870,30,QsAd,QA,7h7c3d9hJh
oval,1002964664,1895,-70,TcTh,TT,4c7h7d5c6s
oval,1002964742,1815,50,KsJh,KJ,7h2s5c2dQs
oval,1002964803,1855,-10,6c7d,67,2d8hQcAdJs
oval,1002964857,1815,200,Ac8c,A8,Td8s3h5sAs
oval,1002964897,2020,-30,6c8h,68,7c4s2s9s5s
oval,1002964942,2000,-10,7sTh,7T,8h2cJs8d3s
oval,1002964975,1990,-50,Ah8d,A8,Js7d6sQh6h
oval,1002965033,1910,-50,Kc8h,K8,5hAsKd4c9d
oval,1002965053,1860,-70,AdTd,AT,TsJhQc4c9s
oval,1002965095,1790,45,AhJc,AJ,5c7dThKd4c
oval,1002965129,1835,100,JsJh,JJ,3sJc6dQs7d
oval,1002965181,1935,100,KcAs,KA,Qc5h4sAh6s
oval,1002965338,2030,180,3h4h,34,Ad5c2h8d7h
oval,1002965373,2210,-90,QdKh,QK,3sQhJd6c3h
oval,1002965595,2070,-100,JsJh,JJ,Th4d6d9c6s
oval,1002965649,1970,-170,TsQh,TQ,4s5hQc4dTc
oval,1002966501,1695,-80,5d8c,58,7d8dQcAs9c
oval,1002966685,1625,20,As5d,A5,8s3c7c9dTs
oval,1002966977,1590,-40,Kh3h,K3,7s7h6s5hQc
oval,1002967083,1530,-30,Qd9c,Q9,ThTd3hJh3c
oval,1002967271,1510,-60,TcTs,TT,3h4sJcJhKh
oval,1002967326,1440,0,8d2d,82,JdTsKc4c4s
oval,1002967527,1475,-40,5hTh,5T,2h8dQd6sJd
oval,1002967547,1435,32,4hAc,4A,QhJcAd2sJd
oval,1002967586,1467,75,JhTd,JT,9hTcTsAh8d
