,player_name,hand_id,starting_bankroll,net_earning,player_cards,play_cards_value,community_cards,WIN,T_CARDS,best_hand
0,marki,1002573263,1516,-120,9hKs,9K,Kh6dQcTcQs,False,9H KS KH 6D QC TC QS,"('two-pair', ['K', 'Q', 'T'])"
1,marki,1002573342,1376,-70,TcKh,TK,5c9c9s7sJc,False,TC KH 5C 9C 9S 7S JC,"('one-pair', ['9', 'K', 'J', 'T'])"
2,marki,1002573480,1301,-70,QsQh,QQ,6d7h2h4cKd,False,QS QH 6D 7H 2H 4C KD,"('one-pair', ['Q', 'K', '7', '6'])"
3,marki,1002573794,1161,-20,6c8c,68,5dJdTsTd7d,False,6C 8C 5D JD TS TD 7D,"('one-pair', ['T', 'J', '8', '7'])"
4,marki,1002573860,1141,7,Ah9h,A9,Qc8d3hQs3c,True,AH 9H QC 8D 3H QS 3C,"('two-pair', ['Q', '3', 'A'])"
5,marki,1002573950,1148,-90,JcJh,JJ,Kc4d2c8c5s,False,JC JH KC 4D 2C 8C 5S,"('one-pair', ['J', 'K', '8', '5'])"
6,marki,1002574014,1058,-20,9dQs,9Q,8s7d5cKc7s,False,9D QS 8S 7D 5C KC 7S,"('one-pair', ['7', 'K', 'Q', '9'])"
7,marki,1002574145,1038,105,Qs9c,Q9,4h4d9h2s6s,True,QS 9C 4H 4D 9H 2S 6S,"('two-pair', ['9', '4', 'Q'])"
8,marki,1002575472,1203,55,8s5d,85,7s6cTc4d8h,True,8S 5D 7S 6C TC 4D 8H,"('straight', '8')"
9,marki,1004464882,1273,-60,2dAs,2A,8dAd9h3s7h,False,2D AS 8D AD 9H 3S 7H,"('one-pair', ['A', '9', '8', '7'])"
10,marki,1004465007,1183,-10,9hJs,9J,AcAs6h3s5c,False,9H JS AC AS 6H 3S 5C,"('one-pair', ['A', 'J', '9', '6'])"
11,marki,1004542699,1178,60,TcKd,TK,QhJs2cJcQd,True,TC KD QH JS 2C JC QD,"('two-pair', ['Q', 'J', 'K'])"
12,marki,1004542866,1328,50,JhTh,JT,4s3dKd7hAc,True,JH TH 4S 3D KD 7H AC,"('high_card', 'A')"
13,marki,1004542888,1378,-50,JdQc,JQ,7h6c2c9c9h,False,JD QC 7H 6C 2C 9C 9H,"('one-pair', ['9', 'Q', 'J', '7'])"
14,marki,1004542922,1328,60,3s6h,36,5h6cKdKs4d,True,3S 6H 5H 6C KD KS 4D,"('two-pair', ['K', '6', '5'])"
15,marki,1004542948,1388,-90,Ad4d,A4,7d8d2c7c6s,False,AD 4D 7D 8D 2C 7C 6S,"('one-pair', ['7', 'A', '8', '6'])"
16,marki,1004543124,1343,100,6cJc,6J,6h7cJsQcTs,True,6C JC 6H 7C JS QC TS,"('two-pair', ['J', '6', 'Q'])"
17,marki,1004543194,1433,-90,KcJc,KJ,4c3s9s8d8c,False,KC JC 4C 3S 9S 8D 8C,"('one-pair', ['8', 'K', 'J', '9'])"
18,marki,1004543268,1338,-70,5hKd,5K,4cAs3s5d2h,False,5H KD 4C AS 3S 5D 2H,"('one-pair', ['5', 'A', 'K', '4'])"
19,marki,1004553554,1238,90,AdQc,AQ,KdTh4cJh4d,True,AD QC KD TH 4C JH 4D,"('straight', 'A')"
20,marki,1004553604,1328,-60,6sAc,6A,Jd4s4cAs5c,False,6S AC JD 4S 4C AS 5C,"('two-pair', ['A', '4', 'J'])"
21,marki,1004553702,1343,55,9dJs,9J,7d2sJh4d3c,True,9D JS 7D 2S JH 4D 3C,"('one-pair', ['J', '9', '7', '4'])"
22,marki,1004555204,1388,-60,AhKc,AK,4s5d6s2s4c,False,AH KC 4S 5D 6S 2S 4C,"('one-pair', ['4', 'A', 'K', '6'])"
23,oval,1002963855,1660,-110,9c8c,98,9h5cQc3dKs,False,9C 8C 9H 5C QC 3D KS,"('one-pair', ['9', 'K', 'Q', '8'])"
24,oval,1002963963,1550,-60,9sAh,9A,TcAc8h8c2s,False,9S AH TC AC 8H 8C 2S,"('two-pair', ['A', '8', 'T'])"
25,oval,1002964028,1490,-120,AsTs,AT,Kc5s4sJc3c,False,AS TS KC 5S 4S JC 3C,"('high_card', 'J')"
26,oval,1002964049,1370,60,6cTc,6T,2cKd6d7d4s,True,6C TC 2C KD 6D 7D 4S,"('one-pair', ['6', 'K', 'T', '7'])"
27,oval,1002964071,1430,120,7s3s,73,4hJs9sJh2s,True,7S 3S 4H JS 9S JH 2S,"('flush', ['J', '9', '7', '3', '2'])"
28,oval,1002964149,1535,-20,9s8d,98,KhAd5h7dTc,False,9S 8D KH AD 5H 7D TC,"('high_card', 'T')"
29,oval,1002964173,1515,-60,9sJh,9J,Qs6sTdJdTs,False,9S JH QS 6S TD JD TS,"('two-pair', ['J', 'T', 'Q'])"
30,oval,1002964212,1450,-40,5h5s,55,3hQc7s9c8c,False,5H 5S 3H QC 7S 9C 8C,"('one-pair', ['5', 'Q', '9', '8'])"
31,oval,1002964230,1410,-70,8d9s,89,3cTdQs4d3h,False,8D 9S 3C TD QS 4D 3H,"('one-pair', ['3', 'Q', 'T', '9'])"
32,oval,1002964247,1340,-70,2c6c,26,5d2hJdQh8h,False,2C 6C 5D 2H JD QH 8H,"('one-pair', ['2', 'Q', 'J', '8'])"
33,oval,1002964292,1250,200,AcJs,AJ,Qs4d8hQcJd,True,AC JS QS 4D 8H QC JD,"('two-pair', ['Q', 'J', 'A'])"
34,oval,1002964325,1450,180,7s6c,76,8hThTs6s6h,True,7S 6C 8H TH TS 6S 6H,"('three-of-a-kind', '6')"
35,oval,1002964373,1630,100,7sTs,7T,JsKs4d3h3s,True,7S TS JS KS 4D 3H 3S,"('flush', ['K', 'J', 'T', '7', '3'])"
36,oval,1002964397,1730,30,JhAc,JA,Ts5c8sKd7d,True,JH AC TS 5C 8S KD 7D,"('high_card', 'K')"
